model,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc
Baseline majority=1,0.5322128851540616,0.5322128851540616,1.0,0.6946983546617916,,,,,,
GD RAW,0.5462184873949579,0.54,0.9947368421052631,0.7,0.5332965647652065,0.544179523141655,0.5384615384615384,0.9973614775725593,0.6993524514338575,0.5395185881535083
Newton RAW,0.9355742296918768,0.9238578680203046,0.9578947368421052,0.9405684754521964,0.965237945162307,0.9509116409537167,0.9586666666666667,0.9485488126649076,0.9535809018567639,0.9739969269903465
GD STD,0.8879551820728291,0.8440366972477065,0.968421052631579,0.9019607843137255,0.9676016388276079,0.9144460028050491,0.9035532994923858,0.9393139841688655,0.9210866752910737,0.9539255920875926
Newton STD,0.9411764705882353,0.9333333333333333,0.9578947368421052,0.9454545454545454,0.9660888748818153,0.9509116409537167,0.9598930481283422,0.9472295514511874,0.953519256308101,0.9778204145798114
