model,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc
Baseline majority=1,0.5322128851540616,0.5322128851540616,1.0,0.6946983546617916,,,,,,
GD FS+STD,0.9215686274509803,0.8932038834951457,0.968421052631579,0.9292929292929293,0.9765521588402142,0.9228611500701263,0.9186046511627907,0.9379947229551451,0.9281984334203656,0.9627101338220655
Newton FS+STD,0.9299719887955182,0.9187817258883249,0.9526315789473684,0.9354005167958657,0.9645761109360228,0.9530154277699859,0.9625167336010709,0.9485488126649076,0.9554817275747508,0.9724920212345759
