model,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc
Baseline majority=1,0.5322128851540616,0.5322128851540616,1.0,0.6946983546617916,,,,,,
GD RAW,0.5518207282913166,0.5433526011560693,0.9894736842105263,0.7014925373134329,0.536069965332493,0.5518934081346424,0.5428365730741541,0.9947229551451188,0.7023754075454122,0.5419388794969429
Newton RAW,0.9439775910364145,0.9336734693877551,0.9631578947368421,0.9481865284974094,0.9677592184052947,0.9481065918653576,0.9572192513368984,0.9445910290237467,0.950863213811421,0.9716921697502093
GD STD,0.8879551820728291,0.8440366972477065,0.968421052631579,0.9019607843137255,0.967601638827608,0.9144460028050491,0.9035532994923858,0.9393139841688655,0.9210866752910737,0.9538801684230483
Newton STD,0.9299719887955182,0.914572864321608,0.9578947368421052,0.9357326478149101,0.9677277024897574,0.9509116409537167,0.9598930481283422,0.9472295514511874,0.953519256308101,0.975584780307459
